date,nav,drawdown
0,100000.0,0.0
1,100395.69224599999,0.0
2,98912.57224599998,-0.014772745391962782
3,99603.79224599998,-0.007887788632002386
4,100716.18224600001,0.0
5,100705.47224599999,-0.00010633842309333868
6,100579.91224599998,-0.0013530099827175012
7,98756.292246,-0.019459534270401237
8,97757.80224599999,-0.02937343269003341
9,99534.05224599998,-0.011737239971156497
10,100383.62224599998,-0.0033019520059621257
11,100728.722246,0.0
12,102795.842246,0.0
13,102707.68224599998,-0.000857622235236353
14,102698.09224600001,-0.0009509139461697353
15,100324.59224599999,-0.024040369201762887
16,100901.632246,-0.018426912593088988
17,99115.74224600002,-0.03580008606956257
18,97493.76224599998,-0.05157873980264344
19,100246.90224600003,-0.024796139068544457
20,100288.61224599998,-0.02439038335811278
21,102376.622246,-0.004078180506530301
22,102470.10224599997,-0.0031688052053750215
23,101757.15224599998,-0.010104396999971411
24,100695.27224599998,-0.020434386781647863
25,100425.702246,-0.023056769108696383
26,101259.982246,-0.014940876658460027
27,101464.08224599998,-0.01295538779489737
28,103029.402246,0.0
29,103012.682246,-0.00016228377177302607
30,101163.092246,-0.018114343666130073
31,101038.67224599999,-0.01932196010656073
32,98903.79224599998,-0.04004303538663098
33,99066.92224599999,-0.038459700955450794
34,99700.53224599999,-0.03230990307069601
35,100730.72224600002,-0.022310912709281705
36,99853.37224600001,-0.030826443042119952
37,100052.31224599997,-0.028895537925103392
38,98156.872246,-0.04729261641609853
39,94960.27224600001,-0.0783187112037551
40,92787.13224599998,-0.09941113678933008
41,92741.292246,-0.09985605832629613
42,92654.67224599999,-0.10069678920613943
43,92458.992246,-0.10259605287004747
44,88627.362246,-0.13978572801589884
45,82915.652246,-0.19522339799638014
46,87729.022246,-0.14850498660050243
47,89677.462246,-0.12959349184730787
48,91201.68224600001,-0.11479946250449284
49,90899.60224600001,-0.11773144107968378
50,91640.55224599999,-0.11053980467446772
51,92202.29224599998,-0.1050875746531895
52,91877.94224599999,-0.10823570511817611
53,90212.922246,-0.12439633464434258
54,90111.03224599999,-0.12538527564350255
55,89468.58224599999,-0.13162087427840524
56,91841.73224599997,-0.10858715819089765
57,91696.61224599998,-0.10999568815260215
