date,signal,code,data
2020-11-02,buy,002007.XSHE,1.910507792860734
2020-11-02,buy,002142.XSHE,1.5479226655697247
2020-11-02,buy,300433.XSHE,2.075590551181102
2020-11-06,buy,000001.XSHE,1.5000000000000002
2020-11-06,buy,002142.XSHE,1.5479226655697247
2020-11-10,buy,601888.XSHG,2.326015880429706
2020-11-10,sell,002007.XSHE,DK
2020-11-11,buy,002007.XSHE,1.8264840182648403
2020-11-11,buy,300142.XSHE,2.075340982896731
2020-11-11,buy,300601.XSHE,1.7501579501579503
2020-11-11,buy,600926.XSHG,1.686904761904762
